Date,Open,High,Low,Close,Adj Close,Volume,MA5,MA10,MA25,MA50,MA200
2023-01-04,109.11000061035156,114.58999633789062,107.5199966430664,113.63999938964844,113.63999938964844,180389000,,,,,
2023-01-05,110.51000213623047,111.75,107.16000366210938,110.33999633789062,110.33999633789062,157986300,,,,,
2023-01-06,103.0,114.38999938964844,101.80999755859375,113.05999755859375,113.05999755859375,220911100,,,,,
2023-01-09,118.95999908447266,123.5199966430664,117.11000061035156,119.7699966430664,119.7699966430664,190284000,,,,,
2023-01-10,121.06999969482422,122.76000213623047,114.91999816894531,118.8499984741211,118.8499984741211,167642500,115.13199768066406,,,,
2023-01-11,122.08999633789062,125.94999694824219,120.51000213623047,123.22000122070312,123.22000122070312,183810800,117.047998046875,,,,
2023-01-12,122.55999755859375,124.12999725341797,117.0,123.55999755859375,123.55999755859375,169400900,119.69199829101562,,,,
2023-01-13,116.55000305175781,122.62999725341797,115.5999984741211,122.4000015258789,122.4000015258789,180714100,121.55999908447265,,,,
2023-01-17,125.69999694824219,131.6999969482422,125.0199966430664,131.49000549316406,131.49000549316406,186477000,123.90400085449218,,,,
2023-01-18,136.55999755859375,136.67999267578125,127.01000213623047,128.77999877929688,128.77999877929688,195680300,125.89000091552734,120.5109992980957,,,
2023-01-19,127.26000213623047,129.99000549316406,124.30999755859375,127.16999816894531,127.16999816894531,170291900,126.68000030517578,121.86399917602539,,,
2023-01-20,128.67999267578125,133.50999450683594,127.3499984741211,133.4199981689453,133.4199981689453,138858100,128.6520004272461,124.17199935913087,,,
2023-01-23,135.8699951171875,145.3800048828125,134.27000427246094,143.75,143.75,203119200,132.9220001220703,127.24099960327149,,,
2023-01-24,143.0,146.5,141.10000610351562,143.88999938964844,143.88999938964844,158699100,135.4019989013672,129.6529998779297,,,
2023-01-25,141.91000366210938,146.41000366210938,138.07000732421875,144.42999267578125,144.42999267578125,192734300,138.53199768066406,132.21099929809571,,,
2023-01-26,159.97000122070312,161.4199981689453,154.75999450683594,160.27000427246094,160.27000427246094,234815100,145.1519989013672,135.91599960327147,,,
2023-01-27,162.42999267578125,180.67999267578125,161.1699981689453,177.89999389648438,177.89999389648438,306590600,154.047998046875,141.34999923706056,,,
2023-01-30,178.0500030517578,179.77000427246094,166.5,166.66000366210938,166.66000366210938,230878800,158.62999877929687,145.7759994506836,,,
2023-01-31,164.57000732421875,174.3000030517578,162.77999877929688,173.22000122070312,173.22000122070312,196813500,164.49599914550782,149.9489990234375,,,
2023-02-01,173.88999938964844,183.80999755859375,169.92999267578125,181.41000366210938,181.41000366210938,213806300,171.89200134277343,155.21199951171874,,,
2023-02-02,187.3300018310547,196.75,182.61000061035156,188.27000427246094,188.27000427246094,217448300,177.49200134277345,161.3220001220703,,,
2023-02-03,183.9499969482422,199.0,183.69000244140625,189.97999572753906,189.97999572753906,232662000,179.9080017089844,166.97799987792968,,,
2023-02-06,193.00999450683594,198.1699981689453,189.9199981689453,194.75999450683594,194.75999450683594,186188100,185.5279998779297,172.0789993286133,,,
2023-02-07,196.42999267578125,197.5,189.5500030517578,196.80999755859375,196.80999755859375,186010300,190.24599914550782,177.37099914550782,,,
2023-02-08,196.10000610351562,203.0,194.30999755859375,201.2899932861328,201.2899932861328,180673600,194.2219970703125,183.05699920654297,149.13359893798827,,
2023-02-09,207.77999877929688,214.0,204.77000427246094,207.32000732421875,207.32000732421875,215431400,198.03199768066406,187.76199951171876,152.8807992553711,,
2023-02-10,202.22999572753906,206.1999969482422,192.88999938964844,196.88999938964844,196.88999938964844,204754100,199.41399841308595,189.66100006103517,156.3427993774414,,
2023-02-13,194.4199981689453,196.3000030517578,187.61000061035156,194.63999938964844,194.63999938964844,172475500,199.38999938964844,192.45899963378906,159.60599945068358,,
2023-02-14,191.94000244140625,209.82000732421875,189.44000244140625,209.25,209.25,216455700,201.87799987792968,196.06199951171874,163.18519958496094,,
2023-02-15,211.75999450683594,214.66000366210938,206.11000061035156,214.24000549316406,214.24000549316406,181006400,204.46800231933594,199.34499969482422,167.00079986572266,,
2023-02-16,210.77999877929688,217.64999389648438,201.83999633789062,202.0399932861328,202.0399932861328,229586500,203.41199951171876,200.7219985961914,170.15359954833986,,
2023-02-17,199.99000549316406,208.44000244140625,197.5,208.30999755859375,208.30999755859375,213738500,205.6959991455078,202.55499877929688,173.54359954833984,,
2023-02-21,204.99000549316406,209.7100067138672,197.22000122070312,197.3699951171875,197.3699951171875,180018600,206.24199829101562,202.81599884033204,176.54239929199218,,
2023-02-22,197.92999267578125,201.99000549316406,191.77999877929688,200.86000061035156,200.86000061035156,191828500,204.56399841308593,203.22099914550782,179.3171990966797,,
2023-02-23,203.91000366210938,205.13999938964844,196.3300018310547,202.07000732421875,202.07000732421875,146360000,202.12999877929687,203.29900054931642,182.24879943847657,,
2023-02-24,196.3300018310547,197.6699981689453,192.8000030517578,196.8800048828125,196.8800048828125,142228100,201.0980010986328,202.25500030517577,185.03719970703125,,
2023-02-27,202.02999877929688,209.4199981689453,201.25999450683594,207.6300048828125,207.6300048828125,161028300,200.96200256347657,203.3290008544922,188.00559997558594,,
2023-02-28,210.58999633789062,211.22999572753906,203.75,205.7100067138672,205.7100067138672,153144900,202.6300048828125,204.43600158691407,190.48400024414062,,
